16,https://airbnb.com/rooms/994285304328027349?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736542_jw1%2Bk8GIAMUw5nGx&previous_page_section_name=1000&federated_search_id=93978e45-ae1a-4a12-997f-2e7fbdad84a9,702 Luxury Loft in Laureles Medellín,Loft in Medellín,5.0 (8),€ 41 
17,https://airbnb.com/rooms/618974139309219228?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736542_DW6Cklkhuq7USdZk&previous_page_section_name=1000&federated_search_id=93978e45-ae1a-4a12-997f-2e7fbdad84a9,Cozy & Luxury Loft in El Poblado,Loft in Medellín,4.75 (55),€ 67 
18,https://airbnb.com/rooms/954667752239393077?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_WHLsmcJ0Loh3Ms8b&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,"Luxury Modern- A/C, Best Location",Apartment in El Poblado,4.78 (9),€ 84 
19,https://airbnb.com/rooms/614510146401351446?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_CwTu%2BH6%2FLq%2FHePfz&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,"""Modern & Comfortable Apartment in Laureles""",Apartment in Laureles-Estadio,4.98 (52),€ 70 
20,https://airbnb.com/rooms/558647808706699290?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_3xrTT7kNk88DYEFm&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,"At the ❤️ of Provenza. Luxury beds, AC - 201",Apartment in El Poblado,4.61 (76),€ 49 
21,https://airbnb.com/rooms/44356061?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_Sk42ViFMs4IY%2B2S0&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Nature ♥Poblado ☆100Mb WiFi ●Pool ●Priv Patio ●A/C,Loft in El Poblado,4.65 (230),€ 53 
22,https://airbnb.com/rooms/969498191986155530?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_BM4vURGESJ%2BLQXaF&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Oustanding Suite with A/C in El Poblado,Hotel in El Poblado,5.0 (10),€ 68 
23,https://airbnb.com/rooms/954671153472246455?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_5oCq1nk2u325ETir&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,"Luxury Comfort- A/C, Best Location",Apartment in El Poblado,4.89 (19),€ 93 
24,https://airbnb.com/rooms/681187789308397148?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1458215282&check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_rx4ba%2Fqb07N%2FxxiA&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,6. Modern room near provenza located on quiet area,Room in El Poblado,4.84 (74),€ 37 
25,https://airbnb.com/rooms/570356365380212262?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_WjFDj8wd8P7kccei&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Local Art and design house. Great location. Room6,Hotel in El Poblado,4.8 (46),€ 43 
26,https://airbnb.com/rooms/52632941?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_K1UH7CrgvYvYIA%2BM&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Serene Studio in Laureles:Your Refuge in the City,Apartment in Laureles-Estadio,4.92 (130),€ 25 
27,https://airbnb.com/rooms/834903779078034840?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1595470086&check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_NBaEmsFYgb%2BvU3ST&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Ocreitabira room with external private bathroom,Room in El Poblado,4.96 (24),€ 25 
28,https://airbnb.com/rooms/968071148157250477?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_OjnwnAfkTbaPTacx&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Modern 2-story apt boasting an industrial-style,Apartment in Laureles-Estadio,5.0 (5),€ 53 
29,https://airbnb.com/rooms/12783333?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_%2BftsZwsXv6%2BY6LN%2F&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Unique location apartment near metro station,Apartment in El Poblado,4.74 (120),€ 47 
30,https://airbnb.com/rooms/53170179?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_cozeIRTtI5IHWQKB&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,304★LUXURY BOHEMIAN SUITE★WITH JACUZZI LAURELES,Apartment in Laureles-Estadio,4.56 (70),€ 76 
31,https://airbnb.com/rooms/45468562?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_HQFhP4OC6Y9bMeYb&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Aparthouse loft-style studio in El Poblado - 506,Loft in El Poblado,4.93 (105),€ 45 
32,https://airbnb.com/rooms/1016519003203373442?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1772760589&check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_PskiD6QcD6mVV%2FdN&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Bedroom 201 ALZ Apartments,Room in Laureles-Estadio,New,€ 27 
33,https://airbnb.com/rooms/53709255?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1299481945&check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_Bcy1pgIzftQCkczz&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,WiFi 400Mb¡¡Private bedroom‼  WalkScore99♥Poblado♥,Room in El Poblado,4.74 (78),€ 18 
34,https://airbnb.com/rooms/17435088?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1648992973&check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_B8K0E8ASVfYbyR2d&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Comfortable place in Medellín's downtown,Room in La Candelaria,4.85 (234),€ 17 
35,https://airbnb.com/rooms/50400692?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699736545_2w2h4WTMcEjK%2BmvR&previous_page_section_name=1000&federated_search_id=9095c90e-f818-438d-8d7f-3e686f3273f9,Oviedo Mall/WONDERFUL/Daily Cleaning Included,Apartment in El Poblado,4.96 (26),€ 64 
