https://airbnb.com/rooms/854260335418078848?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740716_zBYGzRTRBGrti3hq&previous_page_section_name=1000&federated_search_id=5ba20cf8-0832-4669-90d1-47b0ae7d19a6,° Amazing Loft | Downtown Near Tranvia °,Apartment in Medellín,4.82 (34),empty
https://airbnb.com/rooms/614510146401351446?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_a8n8d%2BdcLDT%2BWSCj&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,"""Modern & Comfortable Apartment in Laureles""",Apartment in Laureles-Estadio,4.96 (53),$57 
https://airbnb.com/rooms/848413270904495583?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_B1Vai1rB323EJHwl&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Unbeatable location @Poblado 1 BR apartment AC,Apartment in El Poblado,4.97 (36),empty
https://airbnb.com/rooms/12783333?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_WuwXwwLobomqXHCB&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Unique location apartment near metro station,Apartment in El Poblado,4.74 (120),empty
https://airbnb.com/rooms/44356061?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_bSJmXAJ6kpLz0%2Fa7&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Nature ♥Poblado ☆100Mb WiFi ●Pool ●Priv Patio ●A/C,Loft in El Poblado,4.65 (230),empty
https://airbnb.com/rooms/791383717130535240?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_1YTncz0yAcQSLtoh&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Dynamic Best Happening Area of Medellin / HS WiFi,Apartment in El Poblado,4.76 (33),empty
https://airbnb.com/rooms/958714708816707704?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_sHJN2umYoSdFDLeN&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Apartment 8min from Poblado Park,Apartment in El Poblado,4.9 (10),$52 
https://airbnb.com/rooms/681187789308397148?category_tag=Tag%3A8678&enable_m3_private_room=true&photo_id=1458215282&check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740719_gbhgUXRRPFoKjlPS&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,6. Modern room near provenza located on quiet area,Room in El Poblado,4.84 (74),empty
https://airbnb.com/rooms/53170179?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_N7OGgfhXnsrLk6CU&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,304★LUXURY BOHEMIAN SUITE★WITH JACUZZI LAURELES,Apartment in Laureles-Estadio,4.56 (70),empty
https://airbnb.com/rooms/968071148157250477?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_s7u%2B8YX5%2Btx4fdiL&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Modern 2-story apt boasting an industrial-style,Apartment in Laureles-Estadio,5.0 (5),empty
https://airbnb.com/rooms/53162723?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_sr%2BI2MBeg4otfATl&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,ML 201 - Functional and luxurious apt/El Poblado,Apartment in El Poblado,4.66 (83),$77 
https://airbnb.com/rooms/863988203442639300?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_woHHYAjtiP2Oykjq&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Cozy loft in Laureles Internet up to 500MB!,Loft in Laureles-Estadio,4.91 (23),$37 
https://airbnb.com/rooms/870239058500030644?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_%2F5DyXbVAGKJZiBiK&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,10.08 Industrial loft in El Poblado with Wi-Fi/AC,Apartment in El Poblado,4.75 (16),empty
https://airbnb.com/rooms/49177153?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_X64XdYLlbgoQ5CJT&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,"Beautiful Apartment in El Poblado, Medellin",Home in El Poblado,4.79 (78),$42 
https://airbnb.com/rooms/51755364?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_JoUMzIWiuBZ9F%2BRe&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,★BEST PRICE★ APARTMENT near EVERYTHING 4,Apartment in Laureles-Estadio,4.75 (110),$38 
https://airbnb.com/rooms/52632941?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_sCXNjahFcopnyt1O&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Serene Studio in Laureles:Your Refuge in the City,Apartment in Laureles-Estadio,4.92 (130),empty
https://airbnb.com/rooms/709207934118645753?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_5A0t26qFYo8B8hyj&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,Air Guest House # 2b,Boutique hotel in El Poblado,4.43 (37),empty
https://airbnb.com/rooms/917268379032870963?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_Gd2tbZ%2F7uiyR4s21&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,TOP view Studio - Great location near Provenza,Apartment in El Poblado,5.0 (5),$39 
https://airbnb.com/rooms/598727977062238597?check_in=2023-11-18&check_out=2023-11-20&source_impression_id=p3_1699740720_e7GITdjv6jgPURQt&previous_page_section_name=1000&federated_search_id=228da1f6-7dad-4882-88fa-30dc58213a7a,★BOUTIQUE apartment★with COWORK near blvd la 70#16,Apartment in Laureles-Estadio,4.79 (29),empty
